Data,Time,Tournament,Home_team,H_S,A_S,Away_team,Match_ID,TEC_result,Field_referee,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,20:00,SFL League,TEC,3,3,Elektrėnų Versmė,18970,draw,Donatas Šimėnas,LFF stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-21,20:00,SFL League,AFK,1,1,TEC,18997,draw,Artūras Pipiras,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,16:30,SFL League,TEC,2,3,FK Medžiai,19014,lost,Sergej Melnikov,LFF stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-28,18:00,SFL League,Pagiriai,1,3,TEC,20130,won,Irmantas Kaprašovas,Dilgynės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-05,20:15,SFL League,TEC,3,1,Salininkai,20157,won,Tomaš Bedulskij,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-12,15:00,SFL League,Širvintos-VGTU-Vilkai,3,2,TEC,20189,lost,Darius Petraška,Širvintų stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-19,15:00,SFL League,Vova,3,1,TEC,20213,lost,Irmantas Kaprašovas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-26,18:30,SFL League,TEC,5,2,Top Kickers,20244,won,Nerijus Vasiliauskas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-02,20:15,SFL League,Viesulas,2,4,TEC,20271,won,Regimantas Jasiūnas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-09,15:00,SFL League,TEC,4,1,Viltis B,20298,won,Nerijus Vasiliauskas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-12,20:00,SFL Cup,TEC,1,2,Širvintos-VGTU-Vilkai,20438,lost,Kęstutis Duchnovič,Širvintų stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-16,18:00,SFL League,Ave.Ko.,9,3,TEC,20327,lost,Regimantas Jasiūnas,Kalvelių stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
